fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Alexa Grasso,Valentina Shevchenko,1,0,262 of 408,199 of 301,84 of 203,80 of 179,54 of 151,61 of 158,12 of 22,6 of 8,18 of 30,13 of 13,51 of 160,67 of 158,31 of 35,6 of 8,2 of 8,7 of 13,1 of 2,4 of 7,1,1,1,0,2:39,8:37,D,Decision - Split,5,5:00,Herb Dean,http://ufcstats.com/fight-details/b395c89e19a3fec4
Kevin Holland,Jack Della Maddalena,0,0,127 of 356,105 of 190,127 of 356,105 of 190,59 of 258,46 of 115,33 of 55,36 of 49,35 of 43,23 of 26,119 of 346,94 of 175,8 of 10,11 of 15,0 of 0,0 of 0,0 of 2,0 of 0,0,0,0,0,0:00,0:00,L,Decision - Split,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/697efaf0d162e877
Raul Rosas Jr.,Terrence Mitchell,1,0,19 of 31,6 of 19,18 of 30,6 of 19,17 of 29,5 of 18,1 of 1,1 of 1,0 of 0,0 of 0,6 of 11,6 of 19,1 of 2,0 of 0,11 of 17,0 of 0,0 of 0,0 of 0,0,0,0,0,0:17,0:00,W,KO/TKO,1,0:54,Mark Smith,http://ufcstats.com/fight-details/c0ca4c201d086ea8
Daniel Zellhuber,Christos Giagos,0,0,36 of 101,38 of 82,36 of 101,38 of 82,18 of 75,25 of 63,11 of 19,3 of 7,7 of 7,10 of 12,35 of 100,36 of 79,1 of 1,2 of 3,0 of 0,0 of 0,0 of 0,0 of 6,1,0,0,0,0:17,0:11,W,Submission,2,3:26,Jason Herzog,http://ufcstats.com/fight-details/2e1435c160bfe8b2
Fernando Padilla,Kyle Nelson,0,0,73 of 209,83 of 185,72 of 208,82 of 184,42 of 168,43 of 143,17 of 22,19 of 20,13 of 18,20 of 21,65 of 198,80 of 176,7 of 10,2 of 8,0 of 0,0 of 0,0 of 1,0 of 3,0,0,0,0,0:07,0:00,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/a5d76e93a5052e3f
Loopy Godinez,Elise Reed,1,0,37 of 51,34 of 48,21 of 31,3 of 13,15 of 25,0 of 6,4 of 4,2 of 3,2 of 2,1 of 4,15 of 24,3 of 12,3 of 3,0 of 0,3 of 4,0 of 1,5 of 5,0 of 1,6,0,0,0,6:29,0:22,W,Submission,2,3:38,Herb Dean,http://ufcstats.com/fight-details/79f03eca3fe5cdb3
Roman Kopylov,Josh Fremd,1,0,54 of 90,38 of 116,49 of 84,38 of 116,23 of 56,18 of 81,9 of 10,8 of 13,17 of 18,12 of 22,47 of 80,37 of 115,2 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 5,0,0,0,0,0:03,0:50,W,KO/TKO,2,4:44,Mark Smith,http://ufcstats.com/fight-details/7a0813ec0fadc84e
Edgar Chairez,Daniel Lacerda,0,0,12 of 20,8 of 18,12 of 20,4 of 14,0 of 6,1 of 8,2 of 3,1 of 3,10 of 11,2 of 3,12 of 20,3 of 12,0 of 0,0 of 0,0 of 0,1 of 2,0 of 0,1 of 2,1,0,0,0,0:14,1:19,NC,Overturned,1,3:47,Chris Tognoni,http://ufcstats.com/fight-details/5d3e046b6bcd49f5
Tracy Cortez,Jasmine Jasudavicius,0,0,116 of 225,95 of 225,103 of 212,77 of 206,63 of 164,43 of 148,16 of 23,25 of 47,24 of 25,9 of 11,91 of 198,58 of 176,12 of 14,19 of 30,0 of 0,0 of 0,0 of 1,2 of 10,0,0,0,0,0:26,3:00,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/bcec26b425194e40
Alex Reyes,Charlie Campbell,0,1,15 of 39,43 of 72,14 of 38,43 of 72,8 of 30,27 of 53,2 of 4,10 of 13,4 of 4,6 of 6,12 of 32,35 of 60,2 of 6,7 of 10,0 of 0,1 of 2,0 of 2,0 of 0,0,0,0,0,0:01,0:02,L,KO/TKO,1,3:38,Mark Smith,http://ufcstats.com/fight-details/58b2fdad7af9be02
Josefine Knutsson,Marnic Mann,0,0,147 of 206,39 of 64,81 of 128,8 of 29,53 of 97,6 of 20,20 of 23,0 of 6,8 of 8,2 of 3,38 of 69,8 of 29,8 of 11,0 of 0,35 of 48,0 of 0,3 of 4,0 of 2,0,0,0,0,10:49,0:33,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/11318a7807cee8ca
Israel Adesanya,Sean Strickland,0,1,94 of 271,137 of 259,94 of 271,137 of 259,22 of 154,85 of 186,38 of 60,45 of 62,34 of 57,7 of 11,94 of 271,121 of 235,0 of 0,11 of 14,0 of 0,5 of 10,0 of 0,0 of 0,0,0,0,0,0:00,0:14,L,Decision - Unanimous,5,5:00,Marc Goddard,http://ufcstats.com/fight-details/7f16e7725245bb2d
Tai Tuivasa,Alexander Volkov,0,1,30 of 69,107 of 164,28 of 67,93 of 143,4 of 31,65 of 110,7 of 9,18 of 21,17 of 27,10 of 12,26 of 65,72 of 115,2 of 2,3 of 3,0 of 0,18 of 25,0 of 0,0 of 1,0,1,0,0,0:00,2:35,L,Submission,2,4:37,Herb Dean,http://ufcstats.com/fight-details/e4ed294e16e16d81
Manel Kape,Felipe dos Santos,1,0,116 of 186,101 of 310,112 of 182,99 of 304,77 of 137,53 of 215,24 of 30,28 of 60,11 of 15,18 of 29,92 of 149,94 of 292,6 of 9,4 of 8,14 of 24,1 of 4,1 of 1,0 of 5,0,0,0,0,0:45,0:08,W,Decision - Unanimous,3,5:00,Greg Kleynjans,http://ufcstats.com/fight-details/222bb2c67a87d312
Justin Tafa,Austen Lane,1,0,11 of 14,7 of 15,11 of 14,7 of 14,9 of 11,3 of 9,0 of 0,1 of 2,2 of 3,3 of 3,6 of 9,7 of 14,0 of 0,0 of 0,5 of 5,0 of 0,0 of 0,0 of 0,0,0,0,0,0:05,0:00,W,KO/TKO,1,1:22,Jim Perdios,http://ufcstats.com/fight-details/f9d2137f380e66bf
Tyson Pedro,Anton Turkalj,1,0,16 of 29,9 of 25,16 of 29,8 of 24,12 of 24,3 of 13,1 of 2,1 of 1,3 of 3,4 of 10,15 of 28,6 of 21,0 of 0,2 of 3,1 of 1,0 of 0,0 of 0,0 of 0,0,0,0,0,0:03,0:00,W,KO/TKO,1,2:12,Marc Goddard,http://ufcstats.com/fight-details/3e1c27f17433f9e4
Carlos Ulberg,Da Woon Jung,1,0,91 of 165,60 of 123,81 of 154,58 of 120,50 of 119,14 of 59,20 of 23,12 of 20,11 of 12,32 of 41,59 of 126,55 of 115,8 of 9,3 of 5,14 of 19,0 of 0,1 of 2,1 of 2,1,0,0,0,1:41,0:15,W,Submission,3,4:49,Herb Dean,http://ufcstats.com/fight-details/a3d75cc363a6544b
Jack Jenkins,Chepe Mariscal,0,0,43 of 70,87 of 143,41 of 68,38 of 87,16 of 36,14 of 53,13 of 18,11 of 16,12 of 14,13 of 18,35 of 60,23 of 65,6 of 8,14 of 21,0 of 0,1 of 1,0 of 1,1 of 1,0,0,0,0,0:07,2:46,L,KO/TKO,2,3:19,Greg Kleynjans,http://ufcstats.com/fight-details/09a7f0979a58e6ea
Jamie Mullarkey,John Makdessi,0,0,88 of 179,85 of 190,88 of 179,83 of 188,38 of 120,37 of 119,13 of 20,22 of 45,37 of 39,24 of 24,88 of 179,83 of 188,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0 of 1,0,0,0,0,0:00,0:00,W,Decision - Unanimous,3,5:00,Jim Perdios,http://ufcstats.com/fight-details/0aae15358d8606b9
Nasrat Haqparast,Landon Quinones,0,0,172 of 378,152 of 359,171 of 377,148 of 354,114 of 304,79 of 273,57 of 73,37 of 46,0 of 0,32 of 35,161 of 361,137 of 340,10 of 16,11 of 14,0 of 0,0 of 0,0 of 5,0 of 0,0,0,0,0,0:21,0:41,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/bfff5a3777841344
Blood Diamond,Charles Radtke,0,0,75 of 136,63 of 112,44 of 94,35 of 76,19 of 58,31 of 72,19 of 28,4 of 4,6 of 8,0 of 0,19 of 58,27 of 59,25 of 36,8 of 17,0 of 0,0 of 0,0 of 3,1 of 6,0,0,0,0,0:21,9:41,L,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/56809feb4fe7ea61
Shane Young,Gabriel Miranda,0,0,1 of 4,2 of 6,1 of 4,2 of 6,0 of 2,0 of 2,1 of 2,1 of 2,0 of 0,1 of 2,1 of 4,2 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 2,0,1,0,0,0:00,0:32,L,Submission,1,0:59,Greg Kleynjans,http://ufcstats.com/fight-details/5d481ff494bf40da
Kevin Jousset,Kiefer Crosbie,0,0,39 of 69,45 of 66,29 of 58,39 of 59,18 of 44,20 of 37,4 of 5,9 of 12,7 of 9,10 of 10,25 of 54,36 of 52,4 of 4,3 of 7,0 of 0,0 of 0,1 of 1,0 of 0,1,0,0,0,0:45,0:00,W,Submission,1,4:49,Jim Perdios,http://ufcstats.com/fight-details/65c89e0c92e51bb8
Ciryl Gane,Serghei Spivac,0,0,110 of 157,11 of 44,109 of 156,11 of 44,48 of 85,7 of 38,39 of 49,2 of 3,22 of 22,2 of 3,105 of 152,11 of 44,4 of 4,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:09,0:02,W,KO/TKO,2,3:44,Marc Goddard,http://ufcstats.com/fight-details/ea006bae605e2a6b
Manon Fiorot,Rose Namajunas,0,0,62 of 232,60 of 152,58 of 225,60 of 150,39 of 197,32 of 107,15 of 22,15 of 26,4 of 6,13 of 17,53 of 214,59 of 148,4 of 10,1 of 2,1 of 1,0 of 0,0 of 1,0 of 6,0,0,0,0,0:24,0:25,W,Decision - Unanimous,3,5:00,Rich Mitchell,http://ufcstats.com/fight-details/4eaf54ad3c82b6fa
Benoit Saint Denis,Thiago Moises,0,0,123 of 210,27 of 67,101 of 182,24 of 62,49 of 123,12 of 46,28 of 34,10 of 14,24 of 25,2 of 2,42 of 71,23 of 59,10 of 14,1 of 3,49 of 97,0 of 0,5 of 9,1 of 3,0,1,0,0,5:20,0:14,W,KO/TKO,2,4:44,Lukasz Bosacki,http://ufcstats.com/fight-details/dfa8fd0b82b37fa1
Volkan Oezdemir,Bogdan Guskov,1,0,36 of 64,10 of 27,26 of 46,8 of 25,19 of 37,7 of 23,1 of 2,1 of 1,6 of 7,0 of 1,15 of 32,8 of 24,1 of 1,0 of 1,10 of 13,0 of 0,1 of 1,0 of 0,1,0,0,0,1:23,0:00,W,Submission,1,3:46,Marc Goddard,http://ufcstats.com/fight-details/5098d052525da54f
William Gomis,Yanis Ghemmouri,0,0,61 of 99,40 of 88,52 of 88,28 of 73,10 of 30,0 of 24,6 of 15,7 of 11,36 of 43,21 of 38,47 of 82,24 of 69,5 of 6,4 of 4,0 of 0,0 of 0,0 of 0,0 of 4,2,0,0,0,0:55,2:42,W,KO/TKO,3,2:20,Loic Pora,http://ufcstats.com/fight-details/1c29c53ff032c5c1
Morgan Charriere,Manolo Zecchini,1,0,26 of 49,9 of 41,26 of 49,9 of 41,16 of 37,5 of 30,7 of 8,1 of 4,3 of 4,3 of 7,25 of 47,9 of 41,1 of 1,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,0,0,0,0,0:03,0:00,W,KO/TKO,1,3:51,Rich Mitchell,http://ufcstats.com/fight-details/0d41a3fa5efef91b
Taylor Lapilus,Caolan Loughran,0,0,87 of 166,70 of 166,84 of 163,48 of 132,59 of 133,28 of 100,18 of 23,13 of 23,7 of 7,7 of 9,76 of 150,44 of 125,7 of 12,3 of 6,1 of 1,1 of 1,0 of 0,2 of 11,0,0,0,0,0:18,6:26,W,Decision - Unanimous,3,5:00,Lukasz Bosacki,http://ufcstats.com/fight-details/1b9a127f9dadaad9
Ange Loosa,Rhys McKee,0,0,124 of 220,90 of 198,98 of 182,77 of 183,71 of 144,48 of 145,19 of 29,19 of 25,8 of 9,10 of 13,45 of 103,70 of 172,32 of 51,5 of 8,21 of 28,2 of 3,6 of 10,0 of 0,0,0,0,0,6:07,0:05,W,Decision - Unanimous,3,5:00,Loic Pora,http://ufcstats.com/fight-details/1be27d95bba03f17
Nora Cornolle,Joselyne Edwards,0,0,85 of 134,75 of 120,40 of 77,18 of 42,12 of 37,6 of 20,17 of 24,8 of 9,11 of 16,4 of 13,17 of 39,14 of 35,23 of 38,4 of 6,0 of 0,0 of 1,0 of 0,5 of 8,0,1,3,0,2:11,8:42,W,Decision - Unanimous,3,5:00,Lukasz Bosacki,http://ufcstats.com/fight-details/e3a5a7ede88a2555
Farid Basharat,Kleydson Rodrigues,0,0,25 of 36,25 of 26,4 of 6,7 of 8,2 of 3,3 of 4,2 of 2,2 of 2,0 of 1,2 of 2,0 of 1,4 of 5,1 of 1,1 of 1,3 of 4,2 of 2,2 of 5,0 of 0,1,0,0,0,3:15,0:30,W,Submission,1,4:15,Loic Pora,http://ufcstats.com/fight-details/ac73c6888ee9322c
Zarah Fairn,Jacqueline Cavalcanti,0,0,39 of 259,127 of 222,39 of 259,126 of 221,25 of 241,43 of 127,8 of 12,20 of 22,6 of 6,63 of 72,39 of 258,116 of 209,0 of 1,10 of 12,0 of 0,0 of 0,0 of 2,0 of 1,0,0,0,0,0:04,0:08,L,Decision - Unanimous,3,5:00,Rich Mitchell,http://ufcstats.com/fight-details/2a48d0a98c21e736
Max Holloway,Chan Sung Jung,2,0,75 of 128,35 of 126,75 of 128,34 of 124,34 of 77,25 of 110,31 of 35,6 of 8,10 of 16,3 of 6,71 of 124,34 of 122,1 of 1,0 of 2,3 of 3,0 of 0,0 of 0,0 of 1,1,0,0,0,0:57,0:15,W,KO/TKO,3,0:23,,http://ufcstats.com/fight-details/96704d7ba3a452d9
Anthony Smith,Ryan Spann,0,0,91 of 147,62 of 191,91 of 147,59 of 187,44 of 92,39 of 158,12 of 15,14 of 23,35 of 40,6 of 6,90 of 146,50 of 174,1 of 1,0 of 0,0 of 0,9 of 13,1 of 3,0 of 1,0,0,0,0,0:56,1:19,W,Decision - Split,3,5:00,Mark Craig,http://ufcstats.com/fight-details/c53b0f678fe2f16a
Giga Chikadze,Alex Caceres,0,0,65 of 141,62 of 168,65 of 141,62 of 168,25 of 83,25 of 110,22 of 38,25 of 44,18 of 20,12 of 14,65 of 139,62 of 168,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/dd617f6ab4916ec4
Rinya Nakamura,Fernie Garcia,0,0,56 of 84,50 of 106,36 of 57,15 of 66,16 of 31,9 of 53,10 of 13,4 of 7,10 of 13,2 of 6,25 of 44,13 of 63,0 of 0,0 of 1,11 of 13,2 of 2,4 of 4,0 of 0,3,1,0,0,9:26,0:00,W,Decision - Unanimous,3,5:00,Kevin Sataki,http://ufcstats.com/fight-details/de89bea7b0dcd2d3
Erin Blanchfield,Taila Santos,0,0,119 of 210,96 of 202,61 of 128,55 of 151,37 of 99,28 of 118,18 of 23,9 of 15,6 of 6,18 of 18,43 of 102,46 of 133,17 of 24,9 of 18,1 of 2,0 of 0,0 of 14,0 of 3,0,0,0,0,8:08,0:09,W,Decision - Unanimous,3,5:00,Thomas Fan,http://ufcstats.com/fight-details/5531317352862978
Junior Tafa,Parker Porter,1,0,11 of 16,3 of 10,8 of 13,2 of 9,7 of 12,2 of 9,1 of 1,0 of 0,0 of 0,0 of 0,4 of 7,2 of 9,4 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:04,0:17,W,KO/TKO,1,1:24,Marc Goddard,http://ufcstats.com/fight-details/f7bc845ce74f5fe7
Waldo Cortes-Acosta,Lukasz Brzeski,1,0,16 of 46,15 of 23,15 of 45,14 of 22,9 of 36,1 of 7,3 of 5,3 of 3,3 of 4,10 of 12,12 of 42,14 of 22,3 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,3:01,Mark Craig,http://ufcstats.com/fight-details/bfc9989751bd0d04
Toshiomi Kazama,Garrett Armfield,0,1,15 of 31,45 of 77,15 of 31,45 of 77,8 of 24,36 of 67,3 of 3,9 of 10,4 of 4,0 of 0,15 of 30,40 of 68,0 of 1,0 of 0,0 of 0,5 of 9,0 of 2,0 of 0,0,0,0,0,0:00,0:26,L,KO/TKO,1,4:16,Kevin Sataki,http://ufcstats.com/fight-details/48231fbd1af53674
Chidi Njokuani,Michal Oleksiejczuk,0,0,30 of 58,54 of 85,29 of 57,44 of 72,7 of 21,31 of 59,18 of 32,12 of 12,4 of 4,1 of 1,19 of 37,17 of 36,10 of 20,4 of 5,0 of 0,23 of 31,0 of 2,1 of 1,0,0,0,0,0:09,1:36,L,KO/TKO,1,4:16,Thomas Fan,http://ufcstats.com/fight-details/293c5f4c9aca5c54
Song Kenan,Rolando Bedoya,1,0,85 of 161,112 of 260,75 of 149,112 of 258,54 of 118,36 of 146,16 of 24,27 of 49,5 of 7,49 of 63,68 of 140,104 of 245,6 of 8,8 of 13,1 of 1,0 of 0,0 of 0,0 of 4,0,0,0,0,0:40,0:33,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/da6b863cf684e0ae
Billy Goff,Yusaku Kinoshita,1,0,43 of 89,17 of 53,40 of 85,17 of 53,13 of 47,15 of 48,13 of 20,2 of 5,14 of 18,0 of 0,36 of 78,17 of 52,2 of 2,0 of 1,2 of 5,0 of 0,0 of 1,0 of 0,0,0,0,0,0:05,0:00,W,KO/TKO,1,3:49,Mark Craig,http://ufcstats.com/fight-details/977250a28d3b8a3f
Liang Na,JJ Aldrich,0,0,27 of 61,68 of 89,11 of 41,47 of 65,7 of 30,46 of 63,3 of 8,1 of 2,1 of 3,0 of 0,9 of 36,9 of 18,2 of 5,1 of 2,0 of 0,37 of 45,3 of 4,0 of 0,0,0,0,1,1:38,5:11,L,KO/TKO,2,4:49,Kevin Sataki,http://ufcstats.com/fight-details/23865dfc8361ac62
SeungWoo Choi,Jarno Errens,1,1,108 of 179,40 of 88,56 of 115,30 of 76,22 of 69,13 of 47,8 of 15,6 of 14,26 of 31,11 of 15,51 of 107,30 of 73,2 of 3,0 of 2,3 of 5,0 of 1,1 of 1,0 of 4,0,0,0,0,5:21,1:34,W,Decision - Unanimous,3,5:00,Thomas Fan,http://ufcstats.com/fight-details/b65b37c0e00074d9
Aljamain Sterling,Sean O'Malley,0,1,24 of 46,26 of 36,17 of 35,25 of 35,3 of 12,18 of 25,3 of 10,6 of 9,11 of 13,1 of 1,16 of 33,10 of 16,1 of 2,1 of 1,0 of 0,14 of 18,0 of 2,0 of 0,0,0,0,0,0:34,0:18,L,KO/TKO,2,0:51,Marc Goddard,http://ufcstats.com/fight-details/ee796ecb4ee8680b
Zhang Weili,Amanda Lemos,1,0,296 of 358,29 of 68,163 of 217,24 of 63,106 of 150,19 of 57,37 of 42,3 of 4,20 of 25,2 of 2,50 of 77,23 of 61,17 of 18,1 of 2,96 of 122,0 of 0,6 of 7,0 of 0,0,2,0,0,16:07,0:34,W,Decision - Unanimous,5,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/845e38dfbfea6e53
Neil Magny,Ian Garry,0,0,51 of 93,111 of 171,27 of 66,91 of 150,10 of 41,32 of 90,7 of 11,16 of 17,10 of 14,43 of 43,25 of 61,84 of 140,2 of 5,4 of 5,0 of 0,3 of 5,0 of 2,2 of 2,0,0,0,0,1:10,2:32,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/78d2c01dc963f204
Da'Mon Blackshear,Mario Bautista,0,0,108 of 192,102 of 161,90 of 174,79 of 137,48 of 123,48 of 103,22 of 30,21 of 22,20 of 21,10 of 12,52 of 129,51 of 101,37 of 42,24 of 30,1 of 3,4 of 6,4 of 7,2 of 10,0,1,0,0,3:00,4:04,L,Decision - Unanimous,3,5:00,Bryan Miner,http://ufcstats.com/fight-details/fd4d30036a3f3efb
Marlon Vera,Pedro Munhoz,0,0,141 of 251,113 of 246,141 of 251,113 of 246,109 of 212,53 of 177,9 of 14,20 of 28,23 of 25,40 of 41,138 of 246,111 of 244,3 of 4,2 of 2,0 of 1,0 of 0,0 of 1,0 of 1,0,0,0,0,0:00,0:00,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/621e6f0929a3dbfc
Chris Weidman,Brad Tavares,0,0,39 of 94,71 of 116,37 of 92,70 of 115,30 of 77,21 of 61,5 of 12,8 of 9,2 of 3,41 of 45,35 of 90,68 of 113,2 of 2,2 of 2,0 of 0,0 of 0,0 of 8,0 of 0,0,0,0,0,1:21,0:00,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/1a95cc401f68f4c8
Gregory Rodrigues,Denis Tiuliulin,0,0,6 of 8,3 of 8,5 of 6,2 of 7,4 of 5,2 of 7,1 of 1,0 of 0,0 of 0,0 of 0,1 of 2,2 of 7,0 of 0,0 of 0,4 of 4,0 of 0,1 of 2,0 of 0,0,0,0,0,0:47,0:00,W,KO/TKO,1,1:43,Bryan Miner,http://ufcstats.com/fight-details/f995ed679ef8bdf4
Kurt Holobaugh,Austin Hubbard,0,0,85 of 144,61 of 125,61 of 119,44 of 107,46 of 101,25 of 86,10 of 12,17 of 19,5 of 6,2 of 2,50 of 106,31 of 87,9 of 10,9 of 12,2 of 3,4 of 8,0 of 0,2 of 6,2,0,0,0,1:08,2:23,W,Submission,2,2:39,John English,http://ufcstats.com/fight-details/62d53ad8f8769666
Brad Katona,Cody Gibson,0,0,173 of 327,169 of 273,160 of 311,164 of 268,116 of 254,130 of 228,25 of 37,22 of 27,19 of 20,12 of 13,127 of 262,134 of 233,33 of 49,30 of 35,0 of 0,0 of 0,0 of 2,0 of 1,0,0,0,0,0:00,0:00,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/e9754f597ec50f6f
Andre Petroski,Gerald Meerschaert,1,0,67 of 143,92 of 166,57 of 132,76 of 149,39 of 114,65 of 135,12 of 12,6 of 9,6 of 6,5 of 5,46 of 117,60 of 131,3 of 4,10 of 10,8 of 11,6 of 8,2 of 5,1 of 3,0,0,0,0,2:06,1:54,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/9f7c28381b6913c8
Andrea Lee,Natalia Silva,0,0,43 of 125,70 of 174,43 of 125,70 of 174,12 of 74,34 of 111,11 of 23,17 of 43,20 of 28,19 of 20,43 of 125,70 of 174,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,Decision - Unanimous,3,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/8c7b5b21b3532027
Karine Silva,Maryna Moroz,1,0,52 of 76,25 of 66,30 of 53,16 of 55,15 of 31,8 of 41,7 of 9,7 of 12,8 of 13,1 of 2,18 of 40,10 of 47,11 of 12,6 of 8,1 of 1,0 of 0,1 of 1,0 of 0,1,0,0,1,0:51,1:41,W,Submission,1,4:59,John English,http://ufcstats.com/fight-details/f329bd89e375d6df
Vicente Luque,Rafael Dos Anjos,0,0,138 of 221,94 of 170,72 of 141,66 of 136,48 of 115,42 of 108,17 of 19,19 of 23,7 of 7,5 of 5,60 of 127,38 of 105,8 of 8,26 of 27,4 of 6,2 of 4,8 of 11,2 of 7,0,1,0,0,12:01,3:54,W,Decision - Unanimous,5,5:00,Mark Smith,http://ufcstats.com/fight-details/e346f2b7af63e804
Cub Swanson,Hakeem Dawodu,0,0,107 of 195,129 of 224,77 of 156,95 of 176,41 of 112,41 of 104,27 of 31,29 of 37,9 of 13,25 of 35,59 of 135,79 of 158,18 of 21,16 of 18,0 of 0,0 of 0,1 of 2,0 of 0,0,0,0,1,1:25,3:10,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/1b1fd32485861655
Khalil Rountree Jr.,Chris Daukaus,1,0,16 of 24,14 of 28,16 of 24,8 of 21,12 of 19,6 of 19,3 of 4,2 of 2,1 of 1,0 of 0,11 of 17,7 of 19,3 of 4,1 of 2,2 of 3,0 of 0,0 of 0,0 of 1,0,0,0,0,0:31,0:04,W,KO/TKO,1,2:40,Herb Dean,http://ufcstats.com/fight-details/c57a4810c932b296
Polyana Viana,Iasmin Lucindo,0,0,41 of 68,31 of 48,10 of 25,10 of 24,2 of 15,5 of 18,4 of 6,4 of 5,4 of 4,1 of 1,10 of 25,9 of 21,0 of 0,0 of 0,0 of 0,1 of 3,1 of 3,2 of 2,0,1,0,0,1:58,3:13,L,Submission,2,3:42,Chris Tognoni,http://ufcstats.com/fight-details/c2f730cb33df5221
AJ Dobson,Tafon Nchukwi,0,0,98 of 176,59 of 106,67 of 134,53 of 99,19 of 75,11 of 47,12 of 18,12 of 15,36 of 41,30 of 37,61 of 119,49 of 92,2 of 5,4 of 7,4 of 10,0 of 0,2 of 3,0 of 0,0,0,0,0,4:33,0:00,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/560a971c6ab8b854
Josh Fremd,Jamie Pickett,0,0,59 of 109,26 of 67,31 of 80,14 of 52,11 of 49,4 of 31,10 of 18,6 of 16,10 of 13,4 of 5,22 of 64,11 of 45,6 of 11,3 of 7,3 of 5,0 of 0,0 of 3,2 of 3,2,0,1,0,7:15,3:01,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/9a9479663bedf8b4
JP Buys,Marcus McGhee,0,1,4 of 30,7 of 13,4 of 30,7 of 13,2 of 22,6 of 11,1 of 3,0 of 0,1 of 5,1 of 2,4 of 29,7 of 13,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0,0,0,0,0:00,0:05,L,KO/TKO,1,2:19,Jason Herzog,http://ufcstats.com/fight-details/2c160a1d1fdbf0b0
Terrance McKinney,Mike Breeden,0,0,30 of 47,1 of 5,30 of 47,1 of 5,23 of 36,0 of 4,7 of 11,1 of 1,0 of 0,0 of 0,16 of 30,1 of 5,11 of 14,0 of 0,3 of 3,0 of 0,0 of 2,0 of 1,0,0,0,0,0:03,0:00,W,KO/TKO,1,1:25,Chris Tognoni,http://ufcstats.com/fight-details/9576d9cba5cf5c4e
Francis Marshall,Isaac Dulgarian,0,0,11 of 16,61 of 83,2 of 7,35 of 53,0 of 5,32 of 50,0 of 0,0 of 0,2 of 2,3 of 3,2 of 7,3 of 4,0 of 0,0 of 0,0 of 0,32 of 49,0 of 0,1 of 1,0,0,0,0,0:00,4:18,L,KO/TKO,1,4:48,Jason Herzog,http://ufcstats.com/fight-details/9479ba3cdcb1e513
Josh Parisian,Martin Buday,0,0,27 of 63,62 of 91,26 of 61,42 of 67,15 of 49,35 of 60,6 of 7,7 of 7,5 of 5,0 of 0,20 of 47,28 of 49,6 of 14,14 of 18,0 of 0,0 of 0,0 of 0,1 of 1,0,1,0,0,0:13,1:56,L,Submission,1,4:11,Herb Dean,http://ufcstats.com/fight-details/d5929b7fbc801ce4
